id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2278,41af43bb3f9077ea,1423098435227,0.29852295,-0.05935669,9.918457,,2015-02-24 04:01:54 UTC,2015-02-24 04:01:54 UTC,
2279,41af43bb3f9077ea,1423098435741,0.30566406,-0.04685974,9.925598,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2280,41af43bb3f9077ea,1423098436259,0.31459045,-0.07304382,9.850021,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2281,41af43bb3f9077ea,1423098436771,0.29733276,-0.064712524,9.855377,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2282,41af43bb3f9077ea,1423098437286,0.29614258,-0.058166504,9.897034,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2283,41af43bb3f9077ea,1423098437798,0.28364563,-0.045669556,9.922028,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2284,41af43bb3f9077ea,1423098438313,0.29792786,-0.03555298,9.904175,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2285,41af43bb3f9077ea,1423098438833,0.28186035,-0.04685974,9.93512,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2286,41af43bb3f9077ea,1423098439345,0.29078674,-0.05519104,9.881561,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2287,41af43bb3f9077ea,1423098439856,0.30387878,-0.050430298,9.905365,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2288,41af43bb3f9077ea,1423098440357,0.29138184,-0.064712524,9.925003,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2289,41af43bb3f9077ea,1423098440868,0.32054138,-0.058166504,9.866684,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2290,41af43bb3f9077ea,1423098441382,0.26757813,-0.049835205,9.928574,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2291,41af43bb3f9077ea,1423098441897,0.31637573,-0.05757141,9.942261,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2292,41af43bb3f9077ea,1423098442413,0.30685425,-0.06352234,9.945831,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
